id,name,email,mobile,course,fee,discount,status1,status2
28,Eshan,eshan@outlook.com,74326743,AI,25000,20,Looking for Demo,DND
29,Mazin,mzn@gmail.com,18286338,fullstack,35000,15,Looking for Demo,DND
30,Sam,sam@gmail.com,12839892,bigdata,30000,10,Demo:WD:18/08/21:WED:11AM,DND
31,Ramesh,rammy@gmail.com,47386832,ML,40000,25,Demo:WD:27/08/21:FRI:11AM,DND
32,Surya,surya.21@gmail.com,16743323,c#,20000,12,Demo:WE:14/08/21:SAT:10AM,DD
33,Aman,aman@gmail.com,53279424,bigdata,30000,10,Demo:WD:04/08/21:WED:11AM,DND
34,Rohit,rohi@outlook.com,78563425,c#,20000,12,Joining:WE:15/08/21:SUN:12PM,Enrolled
35,Yug,yug@gmail.com,91746372,ML,40000,25,Demo:WD:04/08/21:WED:11AM,DND
36,Shan,shan@gmail.com,3784538,fullstack,35000,15,Joining:WD:19/08/21:THU:10AM,DD
37,Shiv,shiv@gmail.com,87264362,AI,25000,20,Looking for Demo,DND
38,Sanchit,schit@gmail.com,75137934,c#,20000,12,Demo:WE:21/08/21:SAT:10AM,DD
39,Mohan,chets@gmail.com,98721638,bigdata,30000,10,Joining:WD:05/08/21:THU:10AM,DD
40,Minu,minu@gmail.com,96333424,fullstack,35000,15,Joining:WE:22/08/21:SUN:12PM,Enrolled
41,Rajib,rajib1@gmail.com,2147483647,bigdata,30000,10,Joining:WD:11/08/21:THU:10AM,DD
42,Shamaita,shamaita1@gmail.com,2147483647,fullstack,35000,15,Looking for Demo,DND
43,Punit,punit1@gmail.com,2147483647,ML,40000,25,Joining:WE:15/08/21:SUN:12PM,Enrolled
44,Preeti,preeti1@gmail.com,2147483647,c#,20000,12,Demo:WD:13/08/21:FRI:11AM,DND
45,Rinki,rinki1@gmail.com,2147483647,AI,25000,20,Demo:WE:14/08/21:SAT:10AM,DD
46,Santosh,santosh1@gmail.com,2147483647,bigdata,30000,10,Demo:WD:04/08/21:WED:11AM,DND
47,Bishwa,biswa1@gmail.com,2147483647,fullstack,35000,15,Joining:WE:15/08/21:SUN:12PM,Enrolled
48,Sourashis,sourashis1@gmail.com,2147483647,AI,25000,20,Joining:WE:15/08/21:SUN:12PM,Enrolled
49,Saheli,saheli1@gmail.com,122222222,ML,40000,25,Demo:WE:14/08/21:SAT:10AM,DD
50,Somrat,somrat1@gmail.com,1111111122,bigdata,30000,10,Demo:WD:04/08/21:WED:11AM,DND
51,Viswapitama,viswapitama1@gmail.com,1000000011,fullstack,35000,15,Demo:WE:14/08/21:SAT:10AM,DD
52,Arjuna,arjuna1@gmail.com,2147483647,c#,20000,12,Looking for Demo,DND
53,Kansha,kansha1@gmail.com,1000000012,AI,25000,20,Looking for Demo,DND
54,Vim,vim1@gmail.com,1000000010,ML,40000,25,Joining:WE:15/08/21:SUN:12PM,Enrolled
55,Duryodhan,duryodhan1@gmail.com,2147483647,fullstack,35000,15,Joining:WD:11/08/21:THU:10AM,DD
56,Kunti,kunti1@gmail.com,2147483647,ML,40000,25,Looking for Demo,DND
57,Laxman,laxman1@gmail.com,1010203020,bigdata,30000,10,Joining:WE:15/08/21:SUN:12PM,Enrolled
58,Satrudhan,satrudhan1@gmail.com,2147483647,AI,25000,20,Demo:WD:04/08/21:WED:11AM,DND
59,Bharat,bharat1@gmail.com,2147483647,fullstack,35000,15,Demo:WE:14/08/21:SAT:10AM,DD
60,Ram,ram1@gmail.com,1010102020,c#,20000,12,Demo:WD:13/08/21:FRI:11AM,DND
61,Abhilash,abhi1@gmail.com,2147483647,bigdata,30000,10,Joining:WD:11/08/21:THU:10AM,DD
62,Sharmila,sharmila1@gmail.com,2147483647,fullstack,35000,15,Looking for Demo,DND
63,Rohit,rohit1@gmail.com,2147483647,ML,40000,25,Joining:WE:15/08/21:SUN:12PM,Enrolled
64,ruthvika,ruthvika1@gmail.com,2147483647,c#,20000,12,Demo:WD:13/08/21:FRI:11AM,DND
65,pinky,pinky1@gmail.com,2147483647,AI,25000,20,Demo:WE:14/08/21:SAT:10AM,DD
66,prabhu,prabhu1@gmail.com,2147483647,bigdata,30000,10,Demo:WD:04/08/21:WED:11AM,DND
67,vishwa,vishwa1@gmail.com,2147483647,fullstack,35000,15,Joining:WE:15/08/21:SUN:12PM,Enrolled
68,Sourabh,sourabh1@gmail.com,2147483647,AI,25000,20,Joining:WE:15/08/21:SUN:12PM,Enrolled
69,Sohail,sohail1@gmail.com,1023222222,ML,40000,25,Demo:WE:14/08/21:SAT:10AM,DD
70,Virat,virat1@gmail.com,2112111122,bigdata,30000,10,Demo:WD:04/08/21:WED:11AM,DND
71,Saikumar,saikumar1@gmail.com,1001000012,fullstack,35000,15,Demo:WE:14/08/21:SAT:10AM,DD
72,Shiva,shiva1@gmail.com,2005000000,c#,20000,12,Looking for Demo,DND
73,Prasad,prasad1@gmail.com,1110000012,AI,25000,20,Looking for Demo,DND
74,Loki,loki1@gmail.com,2147483647,ML,40000,25,Joining:WE:15/08/21:SUN:12PM,Enrolled
75,Alok,alok1@gmail.com,2147483647,fullstack,35000,15,Joining:WD:11/08/21:THU:10AM,DD
76,Sita,sita1@gmail.com,2147483647,ML,40000,25,Looking for Demo,DND
77,Bunny,bunny1@gmail.com,2147483647,bigdata,30000,10,Joining:WE:15/08/21:SUN:12PM,Enrolled
78,Havish,havish1@gmail.com,2147483647,AI,25000,20,Demo:WD:04/08/21:WED:11AM,DND
79,Sunny,sunny1@gmail.com,2147483647,fullstack,35000,15,Demo:WE:14/08/21:SAT:10AM,DD
80,Raju,raju1@gmail.com,2147483647,c#,20000,12,Demo:WD:13/08/21:FRI:11AM,DND
81,Sai,sai@gmail.com,2147483647,bigdata,30000,10,Joining:WD:11/08/21:THU:10AM,DD
82,karthik,karthik1@gmail.com,2147483647,fullstack,35000,15,Looking for Demo,DND
83,pavan,pavan@gmail.com,2147483647,ML,40000,25,Joining:WE:15/08/21:SUN:12PM,Enrolled
84,Pavani,pavani@gmail.com,2147483647,c#,20000,12,Demo:WD:13/08/21:FRI:11AM,DND
85,sravan,sravan2@gmail.com,2147483647,AI,25000,20,Demo:WE:14/08/21:SAT:10AM,DD
86,ashu,ashuthosh@gmail.com,2147483647,bigdata,30000,10,Demo:WD:04/08/21:WED:11AM,DND
87,rohit,ro45@gmail.com,2147483647,fullstack,35000,15,Joining:WE:15/08/21:SUN:12PM,Enrolled
88,Adam,adam@gmail.com,2147483647,AI,25000,20,Joining:WE:15/08/21:SUN:12PM,Enrolled
89,Sahul,sahul1@gmail.com,2147483647,ML,40000,25,Demo:WE:14/08/21:SAT:10AM,DD
90,kalyan,kalyan@gmail.com,2147483647,bigdata,30000,10,Demo:WD:04/08/21:WED:11AM,DND
91,Viswas,viswas@gmail.com,2147483647,fullstack,35000,15,Demo:WE:14/08/21:SAT:10AM,DD
92,Bairstow,JBST1@gmail.com,2147483647,c#,20000,12,Looking for Demo,DND
93,Teja,teja@gmail.com,2147483647,AI,25000,20,Looking for Demo,DND
94,Root,root@gmail.com,995266521,ML,40000,25,Joining:WE:15/08/21:SUN:12PM,Enrolled
95,Suyodhana,suyodhana1@gmail.com,2147483647,fullstack,35000,15,Joining:WD:11/08/21:THU:10AM,DD
96,Kutti,kutti@gmail.com,2147483647,ML,40000,25,Looking for Demo,DND
97,Charan,cherry1@gmail.com,2147483647,bigdata,30000,10,Joining:WE:15/08/21:SUN:12PM,Enrolled
98,Jaya,jaya@gmail.com,2147483647,AI,25000,20,Demo:WD:04/08/21:WED:11AM,DND
99,Vasu,Vaas@gmail.com,2147483647,fullstack,35000,15,Demo:WE:14/08/21:SAT:10AM,DD
100,Ganesh,gani@gmail.com,2147483647,c#,20000,12,Demo:WD:13/08/21:FRI:11AM,DND
